ytrue,ypred
-0.999307191353748,-0.9959773
-0.9979215740612442,-0.9961113
-0.997505888873493,-0.99544144
-0.9900235554939725,-0.9952404
-0.9943189691007343,-0.99137723
-0.9843425245947068,-0.9936982
-0.8872107523901898,-0.9876033
-0.4152695025633919,-0.9160224
-0.44949424968823604,-0.6803433
-0.7598725232090895,-0.68878245
-0.9941804073714839,-0.82809013
-0.9966745184979907,-0.99363106
-0.9970902036857419,-0.99483824
-0.9922405431619785,-0.99503934
-0.9921019814327282,-0.9926324
-0.9966745184979907,-0.99255395
-0.9970902036857419,-0.99483824
-0.99639739503949,-0.99503934
-0.9914091727864762,-0.9947042
-0.99639739503949,-0.99216175
-0.9948732160177358,-0.9947042
-0.9962588333102396,-0.9939665
-0.999307191353748,-0.99463713
-0.9995843148122487,-0.9961113
-0.9995843148122487,-0.99624515
-0.9983372592489953,-0.99624515
-0.9918248579742274,-0.9956424
-0.9925176666204794,-0.9923971
-0.9918248579742274,-0.9927789
-0.983649715948455,-0.9923971
-0.9873908826382152,-0.9871067
-0.9883608147429679,-0.9897289
-0.9933490369959816,-0.9903823
-0.9976444506027434,-0.99321157
-0.9972287654149923,-0.9953074
-0.9995843148122487,-0.99510634
-0.9987529444367464,-0.99624515
-0.9947346542884854,-0.99584335
-0.9984758209782457,-0.99389946
-0.9944575308299847,-0.9957094
-0.9962588333102396,-0.99376523
-0.9915477345157266,-0.99463713
-0.9890536233892198,-0.99224025
-0.9948732160177358,-0.99082404
-0.9983372592489953,-0.9939665
-0.9990300678952472,-0.9956424
-0.9988915061659969,-0.9959773
-0.9999999999999999,-0.99591035
-0.9988915061659969,-0.996446
-0.9987529444367464,-0.99591035
-0.9955660246639877,-0.99584335
-0.9937647221837328,-0.99430186
-0.993487598725232,-0.99342704
-0.9926562283497297,-0.9932834
-0.9746432035471801,-0.9928518
-0.6890674795621448,-0.98034656
-0.5570181515865317,-0.778434
-0.9463766107801024,-0.7157526
-0.994596092559235,-0.95874286
